忠貞小館|台北市大安區新生南路一段103-2號|02-2752-2046|11:00~14:00 & 17:00~21:00|001_00,001_01,001_02,001_03|0|100|0|25.040901|121.533090
轟炸雞排|台北市中正區新生南路一段12巷|02-2394-8328|11:00~18:00|002_00,002_01,002_02,002_03|6|129|0|25.044175|121.532163
御膳品水煎包|台北市中正區新生南路一段12巷2號|02-2632-5609|13:00~19:00|003_00,003_01,003_02,003_03|6|12|0|25.043915|121.532310
德佈咖啡|台北市中山區新生北路一段15號|02-2541-7279|13:00~22:00|004_00,004_01,004_02,004_03|7|24|0|25.046770|121.531931
崑山海產店|台北市中山區八德路二段108號|02-2812-7332|11:00~20:00|005_00,005_01,005_02,005_03|6|10|0|25.045810|121.536540
明日咖啡Mot Cafe|台北市大安區市民大道三段178號|02-8772-3535|10:00~18:00|006_00,006_01,006_02,006_03|7|34|0|25.044257|121.537343
凍凍滾黑豆花 |台北市大安區市民大道三段150巷16號|02-2771-6860|12:00~18:00 週五六日公休|007_00,007_01,007_02,007_03|7|43|0|25.0442486|121.5330307
DOMANI義式餐廳|台北市大安區建國南路一段65巷7號|02-8772-3355|11:30~15:00 & 17:30~22:00|008_00,008_01,008_02,008_03|1|140|0|25.044068|121.5356775
小四川手工水餃麵食館|台北市大安區濟南路三段67號|02-2751-8978|11:00~20:00|009_00,009_01,009_02,009_03|0|33|0|25.040237|121.5348503
黃河蜀魚館|台北市大安區濟南路3段66號|02-2752-3793|11:00~14:00 & 17:00~21:00|010_00,010_01,010_02,010_03|0|66|0|25.0400349|121.5350143
上菜囉!!Viva la fete|台北市大安區濟南路三段40號|02-2752-0968|10:00~21:00|011_00,011_01,011_02,011_03|1|138|0|25.04006|121.5335683
CHANTEZ Pâtisserie 穿石|台北市大安區濟南路三段31號|02-2778-6865|12:00~21:00|012_00,012_01,012_02,012_03|7|233|0|25.0402174|121.5331626
CLOVER CAFE |台北市大安區濟南路三段29號|02-2778-8517|10:00~19:00|013_00,013_01,013_02,013_03|7|198|0|25.040288|121.5328351
詠豐堂EIHODO|台北市大安區濟南路三段27-2號|02-2731-3177|11:00~21:00|014_00,014_01,014_02,014_03|0|120|0|25.040292|121.5327453
丹堤咖啡館|台北市大安區濟南路三段25號|02-2740-2350|07:00~22:00|015_00,015_01,015_02,015_03|7|123|0|25.0403375|121.5325075
濟南鮮湯包|台北市大安區濟南路三段20號|02-8773-7596|11:20~14:30 & 17:00~21:30|016_00,016_01,016_02,016_03|0|133|0|25.040059|121.5321183
小川咖哩|台北市大安區濟南路三段13之2號|02-2731-5501|11:00~20:00|017_00,017_01,017_02,017_03|2|100|0|25.0402519|121.5317783
東雅小廚 |台北市大安區濟南路三段7之1號|02-2773-6799|11:00~20:00|018_00,018_01,018_02,018_03|0|66|0|25.0402642|121.531345
翠林越南餐廳 |台北市大安區忠孝東路三段10巷16號|02-2721-5110|11:20~14:30 & 17:00~21:30 周一公休|019_00,019_01,019_02,019_03|9|77|0|25.0325812|121.5251112
狸貓酒食屋|台北市新生南路一段50-1號|02-2393-8898|11:30~14:30 & 17:30~23:00|020_00,020_01,020_02,020_03|2|110|0|25.0416008|121.5305462
沐樂咖啡|台北市中正區臨沂街13巷7號|02-2358-7288|11:00~22:00|021_00,021_01,021_02,021_03|7|123|0|25.0423946|121.5301077
KANO嘉農東京紅茶|台北市中正區新生南路一段54號|02-3393-0820|11:30~22:00|022_00,022_01,022_02,022_03|7|146|0|25.0413423|121.5303159
阿姊的碳烤三明治|台北市中正區八德路一段82巷9弄10號|0983-066-978|08:00~14:00|023_00,023_01,023_02,023_03|6|134|0|25.0435193|121.5296098
就是愛煎餅果子飯糰|台北市中正區八德路一段82巷18號|0930-727-715|12:00~19:30 週日公休|024_00,024_01,024_02,024_03|6|137|0|25.0435555|121.5300089
鳥丈爐端燒|台北市中正區忠孝東路二段134巷18號|02-2395-2522|11:00~14:30 & 18:00~23:00|025_00,025_01,025_02,025_03|2|144|0|25.0409045|121.5294811
森本家拉麵|台北市忠孝東路二段134巷20號|02-2393-1511|11:30~15:00 & 17:00~22:00|026_00,026_01,026_02,026_03|2|153|0|25.0407736|121.5294367
直物文具Cafe|台北市中正區新生南路一段56巷16之4號|02-2393-5107|14:00~22:00|027_00,027_01,027_02,027_03|7|133|0|25.0295643|121.5218121
佐藤精肉店akiba|台北市中正區八德路一段82巷9弄8號2樓|02-2356-3036|11:30~14:00 & 17:00~20:20|028_00,028_01,028_02,028_03|2|231|0|25.0435123|121.5296589
TINO’S PIZZA堤諾比薩|台北市中正區濟南路二段69號|02-2358-1708|11:00~21:00|029_00,029_01,029_02,029_03|1|266|0|25.043512|121.5230928
彡耕居食事所 |台北市中山區市民大道三段137號|02-8772-7873|18:00~00:30|030_00,030_01,030_02,030_03|2|333|0|25.04488|121.5368023
DomoDeSardegna義大利傳統餐酒館|台北市民生東路三段113巷7弄8號|02-2716-5560|11:30~14:30 & 17:30~22:30|031_00,031_01,031_02,031_03|1|222|0|25.058348|121.5446103
光合箱子|台北市松山區南京東路三段303巷8弄5號|02-2719-8851|09:00~18:30|032_00,032_01,032_02,032_03|7|234|0|25.0409252|121.528212
BooGooCafe布咕咖啡|台北市松山區敦化北路120巷19號|02-2718-2285|12:00~20:00|033_00,033_01,033_02,033_03|7|212|0|25.0538662|121.5449187
WAYO哇優|台北市大安區復興南路一段107巷45號|02-2775-2872|17:00~21:30 週一公休|034_00,034_01,034_02,034_03|3|222|0|25.0437477|121.5435919
Tigertopoki泰一格韓國年糕火鍋|台北市信義區忠孝東路五段8號|02-2723-5581|11:00~21:00|035_00,035_01,035_02,035_03|3|210|0|25.0437464|121.5370258
狗一下居食酒屋|台北市大安區敦化南路一段190巷18號|02-2731-3585|11:30~14:30 & 17:00~02:00|036_00,036_01,036_02,036_03|2|200|0|25.043742|121.510761
好滴咖啡DripCafe|台北市大安區忠孝東路四段170巷6弄10號|02-2740-8589|12:00~22:00|037_00,037_01,037_02,037_03|7|233|0|25.0431917|121.5220154
OvenMaru烤頂鷄|台北市大安區復興南路一段107巷5弄6號1樓|02-2778-3325|16:00~23:00|038_00,038_01,038_02,038_03|3|243|0|25.0448101|121.5424434
小時候冰菓室|台北市大安區大安路一段51巷39號|02-8771-9521|13:00~22:00|039_00,039_01,039_02,039_03|8|147|0|25.0431311|121.5455625
燒肉眾|台北市大安區大安路一段51巷7號|02-2776-6650|17:00~00:00|040_00,040_01,040_02,040_03|9|278|0|25.043127|121.5127317
MangoTree|台北市光復南路240巷31號|02-2711-8112|11:30~14:30 & 17:30~21:30|041_00,041_01,041_02,041_03|4|132|0|25.0406358|121.5538863
泰豬鍋Mookata|台北市大安路一段31巷3號|02-2771-7131|18:00~00:00|042_00,042_01,042_02,042_03|4|178|0|25.044151|121.5442393
莎瓦迪卡SAWADICA|台北市大安區大安路一段176巷1號|02-2706-2022|11:30~14:30 & 17:30~21:30|043_00,043_01,043_02,043_03|4|134|0|25.036446|121.5435963
非常泰|台北市信義區松壽路22號|02-8789-6200|11:00~15:00 & 17:00~22:00|044_00,044_01,044_02,044_03|4|170|0|25.0364449|121.5282754
香濱燒臘|台北市信義區和平東路三段393號|02-2739-3205|10:30~14:00 & 16:30~21:00|045_00,045_01,045_02,045_03|5|135|0|25.0197439|121.5555323
何太守港式菠蘿包專賣店|台北市汀州路三段167號|02-2368-0006|13:00~21:00|046_00,046_01,046_02,046_03|5|167|0|25.0152455|121.5300053
點點心|台北市中正區北平西路3號臺北車站2F|02-2388-6811|10:00~22:00|047_00,047_01,047_02,047_03|5|177|0|25.0152414|121.4971745
花漾點點|台北市大安區光復南路578號|02-2700-3388|10:00-21:30|048_00,048_01,048_02,048_03|5|198|0|25.0267939|121.5532196
京星港式飲茶|台北市大安區忠孝東路四段166號2樓|02-2777-1717|24小時營業|049_00,049_01,049_02,049_03|5|233|0|25.0267928|121.5400874
港式雲吞水餃|新北市中和區新生街118巷2號|02-2222-8893|11:00~14:30 & 17:00&21:30|050_00,050_01,050_02,050_03|5|144|0|25.001812|121.4812106
